time,open,high,low,close,tick_volume,spread,real_volume
2025-08-15 05:30:00+00:00,3343.409,3346.891,3342.006,3346.823,1532,112,0
2025-08-15 05:45:00+00:00,3346.859,3347.422,3343.338,3343.917,1386,112,0
2025-08-15 06:00:00+00:00,3343.881,3344.001,3341.391,3342.057,1779,112,0
2025-08-15 06:15:00+00:00,3342.043,3344.5,3340.931,3341.559,1678,112,0
2025-08-15 06:30:00+00:00,3341.532,3344.021,3340.866,3341.988,1387,112,0
2025-08-15 06:45:00+00:00,3341.912,3343.579,3340.213,3340.446,1260,112,0
2025-08-15 07:00:00+00:00,3340.419,3342.963,3340.161,3342.234,1625,112,0
2025-08-15 07:15:00+00:00,3342.119,3345.905,3341.756,3344.684,1650,112,0
2025-08-15 07:30:00+00:00,3344.685,3345.234,3340.325,3343.308,1888,112,0
2025-08-15 07:45:00+00:00,3343.243,3346.585,3342.664,3346.171,1633,112,0
2025-08-15 08:00:00+00:00,3346.131,3348.292,3341.609,3341.633,1923,112,0
2025-08-15 08:15:00+00:00,3341.641,3342.389,3338.904,3339.525,1960,112,0
2025-08-15 08:30:00+00:00,3339.462,3341.408,3338.36,3339.425,1406,112,0
2025-08-15 08:45:00+00:00,3339.43,3342.852,3339.12,3341.283,2052,112,0
2025-08-15 09:00:00+00:00,3341.18,3342.412,3338.452,3339.562,2009,112,0
2025-08-15 09:15:00+00:00,3339.521,3344.96,3338.68,3344.286,1727,112,0
2025-08-15 09:30:00+00:00,3344.242,3344.811,3340.647,3341.867,1804,112,0
2025-08-15 09:45:00+00:00,3341.876,3343.219,3341.04,3342.678,1372,112,0
2025-08-15 10:00:00+00:00,3342.706,3342.742,3339.326,3339.971,1662,112,0
2025-08-15 10:15:00+00:00,3340.012,3341.172,3337.423,3338.25,1653,112,0
2025-08-15 10:30:00+00:00,3338.153,3339.605,3336.915,3338.251,1502,112,0
2025-08-15 10:45:00+00:00,3338.24,3340.539,3336.267,3337.711,1557,112,0
2025-08-15 11:00:00+00:00,3337.749,3340.701,3337.093,3339.616,1778,112,0
2025-08-15 11:15:00+00:00,3339.642,3340.331,3337.724,3340.04,1302,112,0
2025-08-15 11:30:00+00:00,3340.034,3343.923,3339.773,3343.253,1846,112,0
